IP,isBad
131.228.12.70,True
131.228.12.76,True
131.228.12.77,True
131.228.12.78,True
131.228.12.81,True
131.228.12.92,True
131.228.12.95,True
131.228.12.97,True
131.228.12.99,True
131.228.13.1,True
131.228.13.105,True
131.228.13.106,True
131.228.13.107,True
131.228.13.124,True
131.228.13.127,True
131.228.13.134,True
131.228.13.138,True
131.228.13.140,True
131.228.13.143,True
131.228.13.144,True
131.228.13.15,True
131.228.13.150,True
131.228.13.155,True
131.228.13.156,True
131.228.13.157,True
131.228.13.159,True
131.228.13.167,True
131.228.13.169,True
131.228.13.176,True
131.228.13.178,True
131.228.13.179,True
131.228.13.200,True
131.228.13.21,True
131.228.13.210,True
131.228.13.211,True
131.228.13.213,True
131.228.13.223,True
131.228.13.225,True
131.228.13.226,True
131.228.13.227,True
131.228.13.228,True
131.228.13.230,True
131.228.13.235,True
131.228.13.237,True
131.228.13.247,True
131.228.13.249,True
131.228.13.251,True
131.228.13.27,True
131.228.13.31,True
131.228.13.36,True
131.228.13.38,True
131.228.13.45,True
131.228.13.5,True
131.228.13.57,True
131.228.13.58,True
131.228.13.6,True
131.228.13.61,True
131.228.13.63,True
131.228.13.75,True
131.228.13.82,True
131.228.13.84,True
131.228.13.85,True
131.228.13.88,True
131.228.13.9,True
131.228.13.95,True
131.228.13.96,True
131.228.13.99,True
131.228.14.1,True
131.228.14.10,True
131.228.14.106,True
131.228.14.110,True
131.228.14.113,True
131.228.14.115,True
131.228.14.116,True
131.228.14.117,True
131.228.14.125,True
131.228.14.126,True
131.228.14.127,True
131.228.14.13,True
131.228.14.140,True
131.228.14.154,True
131.228.14.156,True
131.228.14.157,True
131.228.14.163,True
131.228.14.166,True
131.228.14.167,True
131.228.14.174,True
131.228.14.176,True
131.228.14.178,True
131.228.14.18,True
131.228.14.190,True
131.228.14.208,True
131.228.14.216,True
131.228.14.221,True
131.228.14.224,True
131.228.14.233,True
131.228.14.238,True
131.228.14.244,True
131.228.14.247,True
131.228.14.248,True
131.228.14.249,True
131.228.14.251,True
131.228.14.31,True
131.228.14.33,True
131.228.14.36,True
131.228.14.38,True
131.228.14.41,True
131.228.14.42,True
131.228.14.48,True
131.228.14.53,True
131.228.14.57,True
131.228.14.6,True
131.228.14.61,True
131.228.14.7,True
131.228.14.70,True
131.228.14.72,True
131.228.14.81,True
131.228.14.82,True
131.228.14.83,True
131.228.14.97,True
131.228.15.1,True
131.228.15.10,True
131.228.15.101,True
131.228.15.116,True
131.228.15.119,True
131.228.15.122,True
131.228.15.123,True
131.228.15.131,True
131.228.15.133,True
131.228.15.135,True
131.228.15.136,True
131.228.15.139,True
131.228.15.145,True
131.228.15.150,True
131.228.15.178,True
131.228.15.179,True
131.228.15.180,True
131.228.15.189,True
131.228.15.191,True
131.228.15.20,True
131.228.15.200,True
131.228.15.201,True
131.228.15.202,True
131.228.15.203,True
131.228.15.204,True
131.228.15.205,True
131.228.15.207,True
131.228.15.209,True
131.228.15.21,True
131.228.15.215,True
131.228.15.218,True
131.228.15.220,True
131.228.15.23,True
131.228.15.246,True
131.228.15.250,True
131.228.15.29,True
131.228.15.31,True
131.228.15.36,True
131.228.15.37,True
131.228.15.42,True
131.228.15.43,True
131.228.15.47,True
131.228.15.55,True
131.228.15.6,True
131.228.15.61,True
131.228.15.64,True
131.228.15.68,True
131.228.15.72,True
131.228.15.73,True
131.228.15.76,True
131.228.15.78,True
131.228.15.80,True
131.228.15.81,True
131.228.15.82,True
131.228.15.87,True
